mapping_id,user_topic_label,developer_topic_label,max_lag_searched,best_lag_months,best_lag_spearman_rho,observed_max_abs_rho,pair_level_exact_p,null_nonidentity_shifts,null_extreme_count,null_max_mean,null_max_median,null_max_95pct,lag_interpretation,pair_level_fdr_bh
M033,Technical Issues,UE Issues,12,2,-0.2565062136149501,0.2565062136149501,0.45871559633027525,108,49,0.25352506126554375,0.25334851648320866,0.29931686482173586,developer_lags_user,0.8518618456556935
M049,Horror Game,Horror Game,12,0,0.24243449257021893,0.24243449257021893,0.5504587155963303,108,59,0.23610113127876212,0.24983529263880022,0.31164628943065814,synchronous,0.8518618456556935
M001,Customization,Customization,12,3,0.19647378006909222,0.19647378006909222,0.5779816513761468,108,62,0.20414089723088746,0.20360812655459462,0.2798516445481037,developer_lags_user,0.8518618456556935
M011,Input Methods,Controller,12,2,0.24448189070507959,0.24448189070507959,0.5779816513761468,108,62,0.262088837816204,0.2608693002976349,0.324324513401673,developer_lags_user,0.8518618456556935
M037,Kids and Students,Educational Use,12,-6,-0.24934103589157844,0.24934103589157844,0.5871559633027523,108,63,0.25432621982366865,0.2550454742146866,0.30020988233441126,developer_leads_user,0.8518618456556935
M007,Game Interface,Environment & Interface.,12,5,-0.22386881329358294,0.22386881329358294,0.5963302752293578,108,64,0.24857314111285744,0.23149831787731764,0.3585374639581429,developer_lags_user,0.8518618456556935
M036,Privacy & Security,Safety,12,7,-0.2519126270137008,0.2519126270137008,0.6146788990825688,108,66,0.2630437010635307,0.2667064068007464,0.3237550889790206,developer_lags_user,0.8518618456556935
M002,Game Graphics,Graphics Optimization,12,11,-0.2533591331775689,0.2533591331775689,0.6238532110091743,108,67,0.2756020386154334,0.26870643717080056,0.3582115359988084,developer_lags_user,0.8518618456556935
M014,Game Mechanics,Game Elements,12,7,0.17924330927529744,0.17924330927529744,0.6238532110091743,108,67,0.20463228859455143,0.1970328031250348,0.29363074455442606,developer_lags_user,0.8518618456556935
M031,Performance Issues,Troubleshooting,12,0,0.24400528236745722,0.24400528236745722,0.6605504587155964,108,71,0.2584445083061653,0.25145244387831944,0.327207588275248,synchronous,0.8518618456556935
M029,Setup,Installation and Setup,12,11,0.2548838337476313,0.2548838337476313,0.6788990825688074,108,73,0.27254570696823865,0.2875855239269554,0.3206423353555853,developer_lags_user,0.8518618456556935
M018,Hardware Support,Physics & Hardware,12,9,-0.2001800234931468,0.2001800234931468,0.6880733944954128,108,74,0.22368934978401706,0.21292449240367672,0.2819313421769275,developer_lags_user,0.8518618456556935
M006,Audio Interactions,Audio and Visual,12,-5,-0.19459084604715673,0.19459084604715673,0.7064220183486238,108,76,0.2355886189670093,0.22746537122752014,0.34210629068956344,developer_leads_user,0.8518618456556935
M015,Gameplay Complexity,Game Elements,12,0,-0.1995199659057584,0.1995199659057584,0.7431192660550459,108,80,0.27545967392307064,0.29746243177135234,0.36822198827426406,synchronous,0.8567787971457697
M040,Mac OS,IOS Development,12,-8,-0.2345719277810134,0.2345719277810134,0.7522935779816514,108,81,0.2720211278454983,0.274799301470688,0.36913345075125065,developer_leads_user,0.8567787971457697
M003,Game Graphics,Rendering Issues,12,8,-0.21746132050564104,0.21746132050564104,0.8165137614678899,108,88,0.2575671317310641,0.24065617733615607,0.3502806388939384,developer_lags_user,0.8908739739256399
M010,Input Methods,Input Methods,12,-5,-0.19545021724762054,0.19545021724762054,0.8256880733944955,108,89,0.23133083861882042,0.23052721549824334,0.28197875612834405,developer_leads_user,0.8908739739256399
M039,Mac OS,Cross-platform,12,-1,-0.17638344397630895,0.17638344397630895,0.8715596330275229,108,94,0.2224927157425661,0.22244701881039625,0.28903005469913706,developer_leads_user,0.9162549988238061
M020,Target Tracking,Object Tracking,12,-4,0.18342318059299192,0.18342318059299192,0.963302752293578,108,104,0.25936759139655624,0.26513062409288823,0.31702105968822075,developer_leads_user,0.9633027522935781
M026,Multiplayer,Multiplayer,12,6,0.1988340715385754,0.1988340715385754,0.963302752293578,108,104,0.2519573999639946,0.2506487354327488,0.30640464742876555,developer_lags_user,0.9633027522935781
