stakeholder,month,topic_id,absolute_impact,relative_impact,monthly_document_count
user,2016-05,24,64,0.014212747057517211,4503
user,2016-05,25,106,0.02353986231401288,4503
user,2016-05,26,74,0.016433488785254274,4503
user,2016-05,27,120,0.02664890073284477,4503
user,2016-05,28,80,0.017765933821896514,4503
user,2016-05,29,102,0.022651565622918056,4503
user,2016-05,30,91,0.020208749722407285,4503
user,2016-05,31,97,0.021541194759049524,4503
user,2016-05,32,70,0.015545192094159449,4503
user,2016-05,33,88,0.019542527204086165,4503
user,2016-05,34,86,0.019098378858538753,4503
user,2016-05,35,111,0.02465023317788141,4503
user,2016-05,36,93,0.020652898067954697,4503
user,2016-05,37,100,0.02220741727737064,4503
user,2016-05,38,115,0.02553852986897624,4503
user,2016-05,39,80,0.017765933821896514,4503
user,2016-05,40,106,0.02353986231401288,4503
user,2016-05,41,115,0.02553852986897624,4503
user,2016-05,42,67,0.01487896957583833,4503
user,2016-05,43,78,0.017321785476349102,4503
user,2016-05,44,68,0.015101043748612037,4503
user,2016-05,45,107,0.023761936486786588,4503
user,2016-05,46,93,0.020652898067954697,4503
user,2016-05,47,85,0.018876304685765045,4503
user,2016-05,48,96,0.021319120586275817,4503
user,2016-05,49,87,0.019320453031312457,4503
user,2016-06,0,143,0.025122979620520028,5692
user,2016-06,1,98,0.017217146872803936,5692
user,2016-06,2,94,0.01651440618411806,5692
user,2016-06,3,136,0.023893183415319746,5692
user,2016-06,4,122,0.021433591004919185,5692
user,2016-06,5,92,0.016163035839775124,5692
user,2016-06,6,143,0.025122979620520028,5692
user,2016-06,7,155,0.027231201686577652,5692
user,2016-06,8,104,0.018271257905832748,5692
user,2016-06,9,111,0.01950105411103303,5692
user,2016-06,10,98,0.017217146872803936,5692
user,2016-06,11,84,0.014757554462403373,5692
user,2016-06,12,117,0.020555165144061843,5692
user,2016-06,13,106,0.018622628250175684,5692
user,2016-06,14,145,0.025474349964862964,5692
user,2016-06,15,125,0.02196064652143359,5692
user,2016-06,16,102,0.017919887561489812,5692
user,2016-06,17,116,0.020379479971890373,5692
user,2016-06,18,105,0.018446943078004218,5692
user,2016-06,19,73,0.012825017568517217,5692
user,2016-06,20,83,0.014581869290231905,5692
user,2016-06,21,120,0.02108222066057625,5692
user,2016-06,22,85,0.014933239634574842,5692
user,2016-06,23,130,0.022839072382290933,5692
user,2016-06,24,102,0.017919887561489812,5692
user,2016-06,25,121,0.021257905832747715,5692
user,2016-06,26,110,0.01932536893886156,5692
user,2016-06,27,146,0.025650035137034434,5692
user,2016-06,28,124,0.02178496134926212,5692
user,2016-06,29,112,0.019676739283204497,5692
user,2016-06,30,105,0.018446943078004218,5692
user,2016-06,31,152,0.026704146170063246,5692
user,2016-06,32,84,0.014757554462403373,5692
user,2016-06,33,103,0.01809557273366128,5692
user,2016-06,34,123,0.021609276177090655,5692
user,2016-06,35,130,0.022839072382290933,5692
user,2016-06,36,136,0.023893183415319746,5692
user,2016-06,37,113,0.019852424455375967,5692
user,2016-06,38,146,0.025650035137034434,5692
user,2016-06,39,84,0.014757554462403373,5692
user,2016-06,40,117,0.020555165144061843,5692
user,2016-06,41,149,0.02617709065354884,5692
user,2016-06,42,80,0.014054813773717497,5692
user,2016-06,43,104,0.018271257905832748,5692
user,2016-06,44,121,0.021257905832747715,5692
user,2016-06,45,108,0.018973998594518624,5692
user,2016-06,46,114,0.020028109627547436,5692
user,2016-06,47,110,0.01932536893886156,5692
user,2016-06,48,112,0.019676739283204497,5692
user,2016-06,49,99,0.017392832044975406,5692
user,2016-07,0,146,0.02608540289440772,5597
user,2016-07,1,95,0.016973378595676256,5597
user,2016-07,2,123,0.02197605860282294,5597
user,2016-07,3,109,0.019474718599249596,5597
user,2016-07,4,108,0.019296051456137216,5597
user,2016-07,5,97,0.01733071288190102,5597
user,2016-07,6,143,0.025549401465070575,5597
user,2016-07,7,140,0.025013400035733428,5597
user,2016-07,8,113,0.020189387171699123,5597
user,2016-07,9,105,0.018760050026800073,5597
user,2016-07,10,129,0.02304806146149723,5597
user,2016-07,11,89,0.015901375737001965,5597
user,2016-07,12,89,0.015901375737001965,5597
user,2016-07,13,112,0.020010720028586743,5597
user,2016-07,14,144,0.025728068608182955,5597
user,2016-07,15,103,0.01840271574057531,5597
user,2016-07,16,89,0.015901375737001965,5597
user,2016-07,17,100,0.017866714311238163,5597
user,2016-07,18,92,0.01643737716633911,5597
user,2016-07,19,88,0.015722708593889585,5597
user,2016-07,20,82,0.014650705735215293,5597
user,2016-07,21,112,0.020010720028586743,5597
user,2016-07,22,84,0.015008040021440057,5597
user,2016-07,23,111,0.01983205288547436,5597
user,2016-07,24,84,0.015008040021440057,5597
user,2016-07,25,135,0.02412006432017152,5597
user,2016-07,26,111,0.01983205288547436,5597
user,2016-07,27,142,0.02537073432195819,5597
user,2016-07,28,136,0.0242987314632839,5597
user,2016-07,29,116,0.02072538860103627,5597
user,2016-07,30,100,0.017866714311238163,5597
user,2016-07,31,146,0.02608540289440772,5597
user,2016-07,32,78,0.013936037162765768,5597
user,2016-07,33,104,0.01858138288368769,5597
user,2016-07,34,132,0.023584062890834374,5597
user,2016-07,35,121,0.021618724316598177,5597
user,2016-07,36,131,0.023405395747721994,5597
user,2016-07,37,115,0.020546721457923887,5597
user,2016-07,38,146,0.02608540289440772,5597
user,2016-07,39,87,0.015544041450777202,5597
user,2016-07,40,127,0.022690727175272467,5597
user,2016-07,41,144,0.025728068608182955,5597
user,2016-07,42,91,0.01625871002322673,5597
user,2016-07,43,105,0.018760050026800073,5597
user,2016-07,44,106,0.018938717169912453,5597
user,2016-07,45,135,0.02412006432017152,5597
user,2016-07,46,83,0.014829372878327675,5597
user,2016-07,47,124,0.022154725745935324,5597
user,2016-07,48,101,0.018045381454350546,5597
user,2016-07,49,94,0.016794711452563872,5597
user,2016-08,0,124,0.030753968253968252,4032
user,2016-08,1,68,0.016865079365079364,4032
user,2016-08,2,65,0.016121031746031748,4032
user,2016-08,3,100,0.0248015873015873,4032
user,2016-08,4,84,0.020833333333333332,4032
user,2016-08,5,65,0.016121031746031748,4032
