mapping_id,mapping_status,user_topic_id,user_topic_label,developer_topic_id,developer_topic_label,lag_months,spearman_rho,p_value_permutation,n_observations,p_value_fdr_bh_all_tests
M007,matched,7,Game Interface,24,Environment & Interface.,-6,0.057692307692307696,0.6073926073926074,103,0.9958396034345403
M007,matched,7,Game Interface,24,Environment & Interface.,-5,-0.004438280166435506,0.952047952047952,104,1.0
M007,matched,7,Game Interface,24,Environment & Interface.,-4,0.012036077130416753,0.8731268731268731,105,1.0
M007,matched,7,Game Interface,24,Environment & Interface.,-3,-0.006564727813184876,0.9230769230769231,106,1.0
M007,matched,7,Game Interface,24,Environment & Interface.,-2,-0.0013225180744136837,0.981018981018981,107,1.0
M007,matched,7,Game Interface,24,Environment & Interface.,-1,0.03999361702645749,0.7412587412587412,108,0.9995729461378317
M007,matched,7,Game Interface,24,Environment & Interface.,0,-0.19767581944894252,0.06693306693306693,109,0.741682559864378
M007,matched,7,Game Interface,24,Environment & Interface.,1,0.177514623790995,0.1008991008991009,108,0.7790004113533525
M007,matched,7,Game Interface,24,Environment & Interface.,2,0.01665409445890432,0.9020979020979021,107,1.0
M007,matched,7,Game Interface,24,Environment & Interface.,3,-0.036904923849255956,0.7222777222777222,106,0.9995729461378317
M007,matched,7,Game Interface,24,Environment & Interface.,4,0.19053691206613854,0.06993006993006994,105,0.741682559864378
M007,matched,7,Game Interface,24,Environment & Interface.,5,-0.22386881329358294,0.025974025974025976,104,0.6913541004450096
M007,matched,7,Game Interface,24,Environment & Interface.,6,-0.04909336525979498,0.6483516483516484,103,0.9958396034345403
M007,matched,7,Game Interface,24,Environment & Interface.,7,0.14174239040991454,0.15684315684315683,102,0.866764814133235
M007,matched,7,Game Interface,24,Environment & Interface.,8,-0.11065941362909877,0.27472527472527475,101,0.9878819810326661
M007,matched,7,Game Interface,24,Environment & Interface.,9,0.06431520330740165,0.4925074925074925,100,0.9958396034345403
M007,matched,7,Game Interface,24,Environment & Interface.,10,-0.12071887099094078,0.23376623376623376,99,0.9404388714733541
M007,matched,7,Game Interface,24,Environment & Interface.,11,0.20643684611520996,0.058941058941058944,98,0.739033693579148
M007,matched,7,Game Interface,24,Environment & Interface.,12,0.04557707733769463,0.6423576423576424,97,0.9958396034345403
M008,matched,41,UI Design,0,Layout Challenges,-12,-0.052401115085209345,0.6373626373626373,97,0.9958396034345403
M008,matched,41,UI Design,0,Layout Challenges,-11,0.11989238056984743,0.25274725274725274,98,0.9685569904548006
M008,matched,41,UI Design,0,Layout Challenges,-10,0.03445887445887446,0.7972027972027972,99,1.0
M008,matched,41,UI Design,0,Layout Challenges,-9,-0.16314431443144314,0.10789210789210789,100,0.800161377084454
M008,matched,41,UI Design,0,Layout Challenges,-8,0.15346534653465346,0.12787212787212787,101,0.823716161139474
M008,matched,41,UI Design,0,Layout Challenges,-7,0.051800668359240264,0.6583416583416584,102,0.9958396034345403
M008,matched,41,UI Design,0,Layout Challenges,-6,-0.29619338400035145,0.000999000999000999,103,0.06993006993006994
M008,matched,41,UI Design,0,Layout Challenges,-5,0.17610156833457805,0.055944055944055944,104,0.739033693579148
M008,matched,41,UI Design,0,Layout Challenges,-4,0.05527679867302509,0.7302697302697303,105,0.9995729461378317
M008,matched,41,UI Design,0,Layout Challenges,-3,-0.051243166989948866,0.6953046953046953,106,0.9995729461378317
M008,matched,41,UI Design,0,Layout Challenges,-2,-0.05970924195223261,0.6533466533466533,107,0.9958396034345403
M008,matched,41,UI Design,0,Layout Challenges,-1,0.2111621060961006,0.028971028971028972,108,0.6913541004450096
M008,matched,41,UI Design,0,Layout Challenges,0,-0.05993012631270504,0.6613386613386614,109,0.9958396034345403
M008,matched,41,UI Design,0,Layout Challenges,1,-0.10934969419165141,0.2827172827172827,108,0.9923409923409924
M008,matched,41,UI Design,0,Layout Challenges,2,-0.0422132311902463,0.7202797202797203,107,0.9995729461378317
M008,matched,41,UI Design,0,Layout Challenges,3,0.0727971665116586,0.5704295704295704,106,0.9958396034345403
M008,matched,41,UI Design,0,Layout Challenges,4,0.09358380244959098,0.44655344655344653,105,0.9958396034345403
M008,matched,41,UI Design,0,Layout Challenges,5,-0.1050688687659155,0.3436563436563437,104,0.9958396034345403
M008,matched,41,UI Design,0,Layout Challenges,6,-0.06363466628976558,0.6653346653346653,103,0.9958396034345403
M008,matched,41,UI Design,0,Layout Challenges,7,0.15422761792118797,0.11488511488511488,102,0.800161377084454
M008,matched,41,UI Design,0,Layout Challenges,8,-0.09241808291929154,0.43356643356643354,101,0.9958396034345403
M008,matched,41,UI Design,0,Layout Challenges,9,0.14012769431185326,0.18581418581418582,100,0.8978675645342312
M008,matched,41,UI Design,0,Layout Challenges,10,-0.1999282613419638,0.04795204795204795,99,0.739033693579148
M008,matched,41,UI Design,0,Layout Challenges,11,0.2111420684022795,0.026973026973026972,98,0.6913541004450096
M008,matched,41,UI Design,0,Layout Challenges,12,-0.13728352204429659,0.1848151848151848,97,0.8978675645342312
M009,matched,41,UI Design,24,Environment & Interface.,-12,-0.08463075952030297,0.3876123876123876,97,0.9958396034345403
M009,matched,41,UI Design,24,Environment & Interface.,-11,0.08174103755841605,0.3886113886113886,98,0.9958396034345403
M009,matched,41,UI Design,24,Environment & Interface.,-10,0.03093382807668522,0.7272727272727273,99,0.9995729461378317
M009,matched,41,UI Design,24,Environment & Interface.,-9,0.01768976897689769,0.8771228771228772,100,1.0
M009,matched,41,UI Design,24,Environment & Interface.,-8,-0.057402446126965635,0.4995004995004995,101,0.9958396034345403
M009,matched,41,UI Design,24,Environment & Interface.,-7,-0.07731367083024693,0.41358641358641357,102,0.9958396034345403
M009,matched,41,UI Design,24,Environment & Interface.,-6,0.11811931643456486,0.2077922077922078,103,0.8978675645342312
M009,matched,41,UI Design,24,Environment & Interface.,-5,-0.1691987624026459,0.07692307692307693,104,0.745535456279258
M009,matched,41,UI Design,24,Environment & Interface.,-4,0.27501555048724863,0.000999000999000999,105,0.06993006993006994
M009,matched,41,UI Design,24,Environment & Interface.,-3,-0.198871451243167,0.030969030969030968,106,0.6918613301592024
M009,matched,41,UI Design,24,Environment & Interface.,-2,-0.015037520327592625,0.9070929070929071,107,1.0
M009,matched,41,UI Design,24,Environment & Interface.,-1,0.05430291020743394,0.6123876123876124,108,0.9958396034345403
M009,matched,41,UI Design,24,Environment & Interface.,0,0.020545088918396022,0.8491508491508492,109,1.0
M009,matched,41,UI Design,24,Environment & Interface.,1,-0.0062686965305895305,0.987012987012987,108,1.0
M009,matched,41,UI Design,24,Environment & Interface.,2,0.059210204064481,0.5564435564435565,107,0.9958396034345403
M009,matched,41,UI Design,24,Environment & Interface.,3,-0.017618637365303492,0.8581418581418582,106,1.0
M009,matched,41,UI Design,24,Environment & Interface.,4,-0.05900952736712882,0.5464535464535465,105,0.9958396034345403
M009,matched,41,UI Design,24,Environment & Interface.,5,0.020943357980045908,0.8481518481518482,104,1.0
M009,matched,41,UI Design,24,Environment & Interface.,6,0.02818200788739014,0.8371628371628371,103,1.0
M009,matched,41,UI Design,24,Environment & Interface.,7,-0.2136568485115339,0.054945054945054944,102,0.739033693579148
M009,matched,41,UI Design,24,Environment & Interface.,8,0.2162867360279059,0.03496503496503497,101,0.7060247444862829
M009,matched,41,UI Design,24,Environment & Interface.,9,0.08573760261766698,0.34465534465534464,100,0.9958396034345403
M009,matched,41,UI Design,24,Environment & Interface.,10,-0.09207287660415606,0.3726273726273726,99,0.9958396034345403
M009,matched,41,UI Design,24,Environment & Interface.,11,-0.026197504576651463,0.8081918081918081,98,1.0
M009,matched,41,UI Design,24,Environment & Interface.,12,-0.05002169711269197,0.6523476523476524,97,0.9958396034345403
M010,matched,16,Input Methods,3,Input Methods,-12,-0.08744477172312223,0.4435564435564436,97,0.9958396034345403
M010,matched,16,Input Methods,3,Input Methods,-11,0.09932482833808312,0.3956043956043956,98,0.9958396034345403
M010,matched,16,Input Methods,3,Input Methods,-10,-0.10477427334570191,0.32667332667332666,99,0.9958396034345403
M010,matched,16,Input Methods,3,Input Methods,-9,0.03996399639963996,0.7562437562437563,100,1.0
M010,matched,16,Input Methods,3,Input Methods,-8,-0.019289458357600466,0.8601398601398601,101,1.0
M010,matched,16,Input Methods,3,Input Methods,-7,-0.0031721618763818128,0.974025974025974,102,1.0
M010,matched,16,Input Methods,3,Input Methods,-6,0.03693493827702851,0.7562437562437563,103,1.0
M010,matched,16,Input Methods,3,Input Methods,-5,-0.19545021724762054,0.05094905094905095,104,0.739033693579148
