mapping_id,mapping_status,user_topic_id,user_topic_label,developer_topic_id,developer_topic_label,user_mean_relative_impact,developer_mean_relative_impact,stakeholder_alignment_score,discussion_salience_gap_log2_user_over_developer,best_lag_months,best_lag_spearman_rho,best_lag_p_value_permutation,best_lag_n_observations,lag_interpretation,best_lag_fdr_bh,has_any_lag_fdr_0.05
M001,matched,3,Customization,9,Customization,0.03888910114478763,0.06709221633958294,0.7338859728867929,-0.7867795130553304,3,0.19647378006909222,0.03396603396603397,106,developer_lags_user,0.04755244755244756,False
M002,matched,6,Game Graphics,4,Graphics Optimization,0.04020537912035102,0.030952191420766165,0.869962006444444,0.3773469778816124,11,-0.2533591331775689,0.03896103896103896,98,developer_lags_user,0.052785923753665684,False
M029,matched,35,Setup,17,Installation and Setup,0.01740126926596813,0.021625852552486727,0.8917526302333507,-0.3135644674575888,11,0.2548838337476313,0.04195804195804196,98,developer_lags_user,0.05506993006993007,False
M040,matched,24,Mac OS,25,IOS Development,0.02336390055578872,0.022866983830903714,0.9892514120924476,0.031015063389935486,-8,-0.2345719277810134,0.04995004995004995,101,developer_leads_user,0.06293706293706294,False
M010,matched,16,Input Methods,3,Input Methods,0.018540136622099093,0.02778930082944627,0.8003609645202151,-0.5838776619812064,-5,-0.19545021724762054,0.05094905094905095,104,developer_leads_user,0.06293706293706294,False
M006,matched,1,Audio Interactions,34,Audio and Visual,0.021929575004761816,0.025599790781649073,0.9227800389068228,-0.22325416676232435,-5,-0.19459084604715673,0.058941058941058944,104,developer_leads_user,0.07072927072927074,False
M003,matched,6,Game Graphics,11,Rendering Issues,0.04020537912035102,0.022183909578903295,0.711144814808984,0.8578748928785579,8,-0.21746132050564104,0.060939060939060936,101,developer_lags_user,0.07109557109557109,False
M018,matched,14,Hardware Support,28,Physics & Hardware,0.023939877287630768,0.02791038570840096,0.9234235625574843,-0.22138630464696837,9,-0.2001800234931468,0.06893106893106893,100,developer_lags_user,0.07824607824607824,False
M014,matched,8,Game Mechanics,32,Game Elements,0.03764801412038276,0.02737912257090201,0.8420829814778064,0.4594975540193951,7,0.17924330927529744,0.08391608391608392,102,developer_lags_user,0.09274935590725064,False
M039,matched,24,Mac OS,33,Cross-platform,0.02336390055578872,0.03782436866177175,0.7636725422918699,-0.6950348528156145,-1,-0.17638344397630895,0.0999000999000999,108,developer_leads_user,0.10758472296933835,False
M015,matched,12,Gameplay Complexity,32,Game Elements,0.022020739264235503,0.02737912257090201,0.8915303989221548,-0.3142133099066691,0,-0.1995199659057584,0.11688311688311688,109,synchronous,0.12272727272727273,False
M020,matched,38,Target Tracking,7,Object Tracking,0.022543528318136805,0.022831747445956584,0.9936481019021927,-0.018327950264342478,-4,0.18342318059299192,0.13986013986013987,105,developer_leads_user,0.1432713627835579,False
M026,matched,26,Multiplayer,35,Multiplayer,0.01993451700526711,0.01699713779149129,0.9204644571205592,0.22997682432805874,6,0.1988340715385754,0.15284715284715283,103,developer_lags_user,0.15284715284715283,False
